NO,DOMAIN,REACTION_TYPE,TITLE,BG1,CHAR1_1,CHAR1_2,CHAR1_3,BG2,CHAR2_1,CHAR2_2,CHAR2_3,BG3,CHAR3_1,CHAR3_2,CHAR3_3,BG4,CHAR4_1,CHAR4_2,CHAR4_3
1,직장1,인지,회의 중 실수 지적,meeting_room.png,baeksul_f_worried.png,,colleague_default.png,meeting_room.png,baeksul_f_sad.png,,boss_stern.png,meeting_room.png,,baeksul_f_worried.png,,street_night.png,baeksul_f_worried.png,,
1,직장1,정서,회의 중 실수 지적,meeting_room.png,baeksul_f_worried.png,,colleague_default.png,meeting_room.png,baeksul_f_sad.png,,boss_stern.png,meeting_room.png,,baeksul_f_sad.png,,office.png,,baeksul_f_sad.png,colleague_default.png
1,직장1,행동,회의 중 실수 지적,meeting_room.png,baeksul_f_worried.png,,colleague_default.png,meeting_room.png,baeksul_f_sad.png,,boss_stern.png,meeting_room.png,,baeksul_f_worried.png,,corridor.png,baeksul_f_worried.png,,
2,직장2,인지,중요한 업무처리를 잊음,office.png,baeksul_f_default.png,,colleague_default.png,office.png,baeksul_f_worried.png,,colleague_troubled.png,office.png,,baeksul_f_worried.png,,office.png,,baeksul_f_sad.png,
2,직장2,정서,중요한 업무처리를 잊음,office.png,baeksul_f_default.png,,colleague_default.png,office.png,baeksul_f_worried.png,,colleague_troubled.png,office.png,,baeksul_f_sad.png,,office.png,baeksul_f_sad.png,,colleague_default.png
2,직장2,행동,중요한 업무처리를 잊음,office.png,baeksul_f_default.png,,colleague_default.png,office.png,baeksul_f_worried.png,,colleague_troubled.png,office.png,baeksul_f_worried.png,,colleague_default.png,office.png,,baeksul_f_worried.png,
3,직장3,인지,여러 업무가 한꺼번에 주어짐,office.png,baeksul_f_default.png,,boss_default.png,office.png,,baeksul_f_worried.png,,office.png,,baeksul_f_worried.png,,office.png,,baeksul_f_worried.png,
3,직장3,정서,여러 업무가 한꺼번에 주어짐,office.png,baeksul_f_default.png,,boss_default.png,office.png,,baeksul_f_worried.png,,office.png,,baeksul_f_worried.png,,office.png,baeksul_f_worried.png,,colleague_troubled.png
3,직장3,행동,여러 업무가 한꺼번에 주어짐,office.png,baeksul_f_default.png,,boss_default.png,office.png,,baeksul_f_worried.png,,office.png,,baeksul_f_default.png,,office.png,,baeksul_f_worried.png,
4,직장4,인지,업무 지시를 일부 놓침,office.png,baeksul_f_default.png,,boss_default.png,office.png,,baeksul_f_worried.png,,office.png,,baeksul_f_worried.png,,office.png,,baeksul_f_sad.png,
4,직장4,정서,업무 지시를 일부 놓침,office.png,baeksul_f_default.png,,boss_default.png,office.png,,baeksul_f_worried.png,,office.png,,baeksul_f_worried.png,,office.png,baeksul_f_sad.png,,boss_default.png
4,직장4,행동,업무 지시를 일부 놓침,office.png,baeksul_f_default.png,,boss_default.png,office.png,,baeksul_f_worried.png,,office.png,baeksul_f_worried.png,,boss_stern.png,office.png,,baeksul_f_worried.png,
5,직장5,인지,회의내용이 기억나지 않고 주의가 지나치게 분산,meeting_room.png,colleague_default.png,baeksul_f_default.png,boss_default.png,office.png,,baeksul_f_worried.png,,office.png,,baeksul_f_worried.png,,office.png,,baeksul_f_sad.png,
5,직장5,정서,회의내용이 기억나지 않고 주의가 지나치게 분산,meeting_room.png,colleague_default.png,baeksul_f_default.png,boss_default.png,office.png,,baeksul_f_worried.png,,office.png,,baeksul_f_sad.png,,office.png,baeksul_f_worried.png,,colleague_troubled.png
5,직장5,행동,회의내용이 기억나지 않고 주의가 지나치게 분산,meeting_room.png,colleague_default.png,baeksul_f_default.png,boss_default.png,office.png,,baeksul_f_worried.png,,office.png,baeksul_f_default.png,,colleague_default.png,office.png,baeksul_f_worried.png,,
6,직장6,인지,동료와 함께하는 작업에서 일정 숙지 착오,office.png,baeksul_f_default.png,,colleague_default.png,office.png,baeksul_f_worried.png,,colleague_troubled.png,office.png,,baeksul_f_worried.png,,office.png,,baeksul_f_sad.png,
6,직장6,정서,동료와 함께하는 작업에서 일정 숙지 착오,office.png,baeksul_f_default.png,,colleague_default.png,office.png,baeksul_f_worried.png,,colleague_troubled.png,office.png,baeksul_f_sad.png,,colleague_default.png,office.png,baeksul_f_sad.png,,colleague_troubled.png
6,직장6,행동,동료와 함께하는 작업에서 일정 숙지 착오,office.png,baeksul_f_default.png,,colleague_default.png,office.png,baeksul_f_worried.png,,colleague_troubled.png,office.png,baeksul_f_worried.png,,,office.png,baeksul_f_worried.png,,colleague_troubled.png
7,직장7,인지,발표 중 주의가 지나치게 분산되고 감각이 과도하게 각성,meeting_room.png,colleague_default.png,baeksul_f_worried.png,boss_default.png,meeting_room.png,colleague_default.png,baeksul_f_worried.png,boss_default.png,meeting_room.png,,baeksul_f_worried.png,,meeting_room.png,,baeksul_f_worried.png,
7,직장7,정서,발표 중 주의가 지나치게 분산되고 감각이 과도하게 각성,meeting_room.png,colleague_default.png,baeksul_f_worried.png,boss_default.png,meeting_room.png,colleague_default.png,baeksul_f_worried.png,boss_default.png,meeting_room.png,colleague_default.png,baeksul_f_worried.png,boss_default.png,meeting_room.png,,baeksul_f_sad.png,colleague_default.png
7,직장7,행동,발표 중 주의가 지나치게 분산되고 감각이 과도하게 각성,meeting_room.png,colleague_default.png,baeksul_f_worried.png,boss_default.png,meeting_room.png,colleague_default.png,baeksul_f_worried.png,boss_default.png,meeting_room.png,,baeksul_f_worried.png,,meeting_room.png,baeksul_f_worried.png,,
8,직장8,인지,정리되지 않은 파일 형식과 글로 인한 지적,office.png,,baeksul_f_default.png,,office.png,baeksul_f_worried.png,,boss_default.png,office.png,baeksul_f_worried.png,,,office.png,,baeksul_f_sad.png,
8,직장8,정서,정리되지 않은 파일 형식과 글로 인한 지적,office.png,,baeksul_f_default.png,,office.png,baeksul_f_worried.png,,boss_default.png,office.png,,baeksul_f_sad.png,boss_default.png,office.png,baeksul_f_sad.png,,boss_stern.png
8,직장8,행동,정리되지 않은 파일 형식과 글로 인한 지적,office.png,,baeksul_f_default.png,,office.png,baeksul_f_worried.png,,boss_default.png,office.png,baeksul_f_worried.png,,,office.png,,baeksul_f_sad.png,
9,직장9,인지,오탈자와 오기에 대해 반복적인 지적,office.png,,baeksul_f_default.png,,office.png,baeksul_f_worried.png,,boss_stern.png,office.png,,baeksul_f_worried.png,,office.png,,baeksul_f_sad.png,
9,직장9,정서,오탈자와 오기에 대해 반복적인 지적,office.png,,baeksul_f_default.png,,office.png,baeksul_f_worried.png,,boss_stern.png,office.png,,baeksul_f_sad.png,boss_stern.png,office.png,,baeksul_f_sad.png,boss_stern.png
9,직장9,행동,오탈자와 오기에 대해 반복적인 지적,office.png,,baeksul_f_default.png,,office.png,baeksul_f_worried.png,,boss_stern.png,office.png,,baeksul_f_worried.png,,office.png,,baeksul_f_worried.png,
10,직장10,인지,"회의 도중 상대의 말을 끊고, 아이디어를 말하는 나…",meeting_room.png,baeksul_f_default.png,,colleague_default.png,meeting_room.png,baeksul_f_sad.png,,boss_default.png,office.png,baeksul_f_worried.png,,,office.png,,baeksul_f_sad.png,
10,직장10,정서,"회의 도중 상대의 말을 끊고, 아이디어를 말하는 나…",meeting_room.png,baeksul_f_default.png,,colleague_default.png,meeting_room.png,baeksul_f_sad.png,,boss_default.png,office.png,baeksul_f_sad.png,,colleague_troubled.png,street_night.png,,baeksul_f_sad.png,
10,직장10,행동,"회의 도중 상대의 말을 끊고, 아이디어를 말하는 나…",meeting_room.png,baeksul_f_default.png,,colleague_default.png,meeting_room.png,baeksul_f_sad.png,,boss_default.png,meeting_room.png,,baeksul_f_worried.png,,meeting_room.png,baeksul_f_worried.png,,colleague_default.png
11,취업준비1,인지,계속 떨어지는 면접,interview_room.png,,baeksul_f_sad.png,,interview_room.png,,baeksul_f_worried.png,,interview_room.png,,baeksul_f_worried.png,,my_room.png,baeksul_f_worried.png,,
11,취업준비1,정서,계속 떨어지는 면접,interview_room.png,,baeksul_f_sad.png,,interview_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_sad.png,,my_room.png,,baeksul_f_sad.png,
11,취업준비1,행동,계속 떨어지는 면접,interview_room.png,,baeksul_f_sad.png,,interview_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,
12,취업준비2,인지,"취업 준비를 하면서 비교되는 타인의 환경, 위치",my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_sad.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,
12,취업준비2,정서,"취업 준비를 하면서 비교되는 타인의 환경, 위치",my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_sad.png,,my_room.png,baeksul_f_sad.png,,,my_room.png,,baeksul_f_sad.png,
12,취업준비2,행동,"취업 준비를 하면서 비교되는 타인의 환경, 위치",my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_sad.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_sad.png,
13,취업준비3,인지,"막막한 자격증 갖추기, 컴활이 뭐길래?",library.png,,baeksul_f_worried.png,,library.png,,baeksul_f_worried.png,,library.png,,baeksul_f_worried.png,,library.png,,baeksul_f_worried.png,
13,취업준비3,정서,"막막한 자격증 갖추기, 컴활이 뭐길래?",library.png,,baeksul_f_worried.png,,library.png,,baeksul_f_worried.png,,library.png,,baeksul_f_worried.png,,library.png,,baeksul_f_worried.png,
13,취업준비3,행동,"막막한 자격증 갖추기, 컴활이 뭐길래?",library.png,,baeksul_f_worried.png,,library.png,,baeksul_f_worried.png,,library.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,
14,취업준비4,인지,경제적 독립을 하지 못한 못미더움,library.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_sad.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,
14,취업준비4,정서,경제적 독립을 하지 못한 못미더움,library.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_sad.png,,my_room.png,baeksul_f_sad.png,,,my_room.png,,baeksul_f_sad.png,
14,취업준비4,행동,경제적 독립을 하지 못한 못미더움,library.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_sad.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_default.png,
15,취업준비5,인지,면접결과를 물어보는 가족 및 지인들에 대한 부담감,living_room.png,baeksul_f_default.png,,family_default.png,living_room.png,baeksul_f_sad.png,,family_default.png,living_room.png,baeksul_f_worried.png,,family_default.png,living_room.png,baeksul_f_sad.png,,family_default.png
15,취업준비5,정서,면접결과를 물어보는 가족 및 지인들에 대한 부담감,living_room.png,baeksul_f_default.png,,family_default.png,living_room.png,baeksul_f_sad.png,,family_default.png,living_room.png,baeksul_f_sad.png,,family_default.png,living_room.png,baeksul_f_sad.png,,family_default.png
15,취업준비5,행동,면접결과를 물어보는 가족 및 지인들에 대한 부담감,living_room.png,baeksul_f_default.png,,family_default.png,living_room.png,baeksul_f_sad.png,,family_default.png,living_room.png,baeksul_f_worried.png,,family_default.png,living_room.png,baeksul_f_sad.png,,family_default.png
16,취업준비6,인지,"취업을 같이 준비한 친구는 취업 성공, 괜히 드는 불편감",street_day.png,baeksul_f_default.png,,friend_happy.png,street_day.png,baeksul_f_sad.png,,friend_default.png,my_room.png,baeksul_f_worried.png,,,my_room.png,baeksul_f_worried.png,,
16,취업준비6,정서,"취업을 같이 준비한 친구는 취업 성공, 괜히 드는 불편감",street_day.png,baeksul_f_default.png,,friend_happy.png,street_day.png,baeksul_f_sad.png,,friend_default.png,my_room.png,baeksul_f_sad.png,,,my_room.png,,baeksul_f_sad.png,
16,취업준비6,행동,"취업을 같이 준비한 친구는 취업 성공, 괜히 드는 불편감",street_day.png,baeksul_f_default.png,,friend_happy.png,street_day.png,baeksul_f_sad.png,,friend_default.png,my_room.png,baeksul_f_worried.png,,,my_room.png,,baeksul_f_worried.png,
17,취업준비7,인지,자격증 공부가 늘지 않는 백설,library.png,,baeksul_f_sad.png,,library.png,,baeksul_f_worried.png,,library.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,
17,취업준비7,정서,자격증 공부가 늘지 않는 백설,library.png,,baeksul_f_sad.png,,library.png,,baeksul_f_worried.png,,library.png,,baeksul_f_sad.png,,my_room.png,,baeksul_f_sad.png,
17,취업준비7,행동,자격증 공부가 늘지 않는 백설,library.png,,baeksul_f_sad.png,,library.png,,baeksul_f_worried.png,,library.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,
18,취업준비8,인지,자기소개서를 작성하지만 마음에 안드는 나,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,
18,취업준비8,정서,자기소개서를 작성하지만 마음에 안드는 나,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_sad.png,
18,취업준비8,행동,자기소개서를 작성하지만 마음에 안드는 나,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,baeksul_f_worried.png,,
19,취업준비9,인지,나는 어느 회사에 적합한 것일까?,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,
19,취업준비9,정서,나는 어느 회사에 적합한 것일까?,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_sad.png,,my_room.png,,baeksul_f_sad.png,
19,취업준비9,행동,나는 어느 회사에 적합한 것일까?,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,
20,취업준비10,인지,"지루한 취업 준비 과정, 이겨내기!",my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,
20,취업준비10,정서,"지루한 취업 준비 과정, 이겨내기!",my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_sad.png,,my_room.png,baeksul_f_sad.png,,friend_default.png
20,취업준비10,행동,"지루한 취업 준비 과정, 이겨내기!",my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,
21,연인1,인지,"연락이 없는 연인, 내가 예민한걸까?",my_room.png,baeksul_f_default.png,,,my_room.png,,baeksul_f_worried.png,,my_room.png,baeksul_f_worried.png,,,my_room.png,,baeksul_f_worried.png,
21,연인1,정서,"연락이 없는 연인, 내가 예민한걸까?",my_room.png,baeksul_f_default.png,,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_sad.png,,my_room.png,baeksul_f_sad.png,,
21,연인1,행동,"연락이 없는 연인, 내가 예민한걸까?",my_room.png,baeksul_f_default.png,,,my_room.png,,baeksul_f_worried.png,,my_room.png,baeksul_f_worried.png,,,my_room.png,,baeksul_f_worried.png,
22,연인2,인지,"""그냥 밥 먹는거야""라는 말이 편하지 않을 때",my_room.png,baeksul_f_worried.png,,lover_default.png,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,baeksul_f_worried.png,,
22,연인2,정서,"""그냥 밥 먹는거야""라는 말이 편하지 않을 때",my_room.png,baeksul_f_worried.png,,lover_default.png,my_room.png,,baeksul_f_worried.png,,my_room.png,baeksul_f_sad.png,,lover_tired.png,my_room.png,baeksul_f_worried.png,,
22,연인2,행동,"""그냥 밥 먹는거야""라는 말이 편하지 않을 때",my_room.png,baeksul_f_worried.png,,lover_default.png,my_room.png,,baeksul_f_worried.png,,my_room.png,baeksul_f_worried.png,,,my_room.png,baeksul_f_worried.png,,
23,연인3,인지,"이성친구와 술자리, 어디까지 괜찮아야 할까?",my_room.png,baeksul_f_default.png,,lover_default.png,my_room.png,,baeksul_f_worried.png,lover_default.png,my_room.png,baeksul_f_worried.png,,,my_room.png,,baeksul_f_worried.png,
23,연인3,정서,"이성친구와 술자리, 어디까지 괜찮아야 할까?",my_room.png,baeksul_f_default.png,,lover_default.png,my_room.png,,baeksul_f_worried.png,lover_default.png,my_room.png,,baeksul_f_worried.png,,my_room.png,baeksul_f_sad.png,,
23,연인3,행동,"이성친구와 술자리, 어디까지 괜찮아야 할까?",my_room.png,baeksul_f_default.png,,lover_default.png,my_room.png,,baeksul_f_worried.png,lover_default.png,my_room.png,baeksul_f_worried.png,,,my_room.png,,baeksul_f_worried.png,
24,연인4,인지,내 마음을 설명하는데 왜 자꾸 논리로 따질까?,my_room.png,baeksul_f_sad.png,,lover_tired.png,my_room.png,baeksul_f_worried.png,,lover_tired.png,my_room.png,baeksul_f_worried.png,,lover_tired.png,my_room.png,,baeksul_f_sad.png,lover_tired.png
24,연인4,정서,내 마음을 설명하는데 왜 자꾸 논리로 따질까?,my_room.png,baeksul_f_sad.png,,lover_tired.png,my_room.png,baeksul_f_worried.png,,lover_tired.png,my_room.png,,baeksul_f_sad.png,lover_tired.png,my_room.png,,baeksul_f_sad.png,lover_tired.png
