NO,DOMAIN,REACTION_TYPE,SCENE_NUM,SCENE_TYPE,TEXT
1,직장1,인지,1,공통 시나리오 - Scene 1,"백설은 팀 프로젝트 회의에서 자신이 정리한 자료를 발표하고 있다. 발표 도중, 자료에 몇 가지 숫자가 잘못 입력된 것을 팀원이 발견한다."
1,직장1,인지,2,공통 시나리오 - Scene 2,"팀장은 여러 사람이 있는 자리에서 백설에게 자료를 다시 확인해 달라고 말한다. 백설은 평소에도 사소한 내용을 빠뜨리거나 실수하는 일이 종종 있다는 것을 알고 있다. 회의는 계속 진행되지만, 백설은 방금 지적받은 일이 계속 마음에 남는다."
1,직장1,인지,3,세부 시나리오(인지) - Scene 1,회의가 끝난 뒤에도 백설의 머릿속에는 지적받았던 장면이 반복해서 떠오른다.
1,직장1,인지,4,세부 시나리오(인지) - Scene 2,"‘왜 발표 전에 한 번 더 확인하지 않았을까?’ ‘다른 사람들도 내가 실수가 많은 사람이라고 생각했을까?’ 백설은 실수를 수정하려고 자료를 다시 열어보지만, 정작 업무에 집중하기보다는 자신의 실수와 팀원들의 반응을 계속 곱씹게 된다. 퇴근한 뒤에도 그 장면이 떠올라 다른 일에 쉽게 집중하지 못한다."
1,직장1,정서,1,공통 시나리오 - Scene 1,"백설은 팀 프로젝트 회의에서 자신이 정리한 자료를 발표하고 있다. 발표 도중, 자료에 몇 가지 숫자가 잘못 입력된 것을 팀원이 발견한다."
1,직장1,정서,2,공통 시나리오 - Scene 2,"팀장은 여러 사람이 있는 자리에서 백설에게 자료를 다시 확인해 달라고 말한다. 백설은 평소에도 사소한 내용을 빠뜨리거나 실수하는 일이 종종 있다는 것을 알고 있다. 회의는 계속 진행되지만, 백설은 방금 지적받은 일이 계속 마음에 남는다."
1,직장1,정서,3,세부 시나리오(정서) - Scene 1,지적을 받은 순간 백설은 얼굴이 뜨거워지고 가슴이 답답해지는 것을 느낀다. 회의가 끝난 뒤에도 마음이 쉽게 진정되지 않는다.
1,직장1,정서,4,세부 시나리오(정서) - Scene 2,"부끄러운 것인지, 속상한 것인지, 화가 난 것인지 여러 감정이 한꺼번에 올라오지만, 백설은 자신이 정확히 어떤 마음인지 잘 알지 못한다. 괜찮은 척 업무를 이어가지만, 누군가 말을 걸면 평소보다 예민하게 반응하게 된다."
1,직장1,행동,1,공통 시나리오 - Scene 1,"백설은 팀 프로젝트 회의에서 자신이 정리한 자료를 발표하고 있다. 발표 도중, 자료에 몇 가지 숫자가 잘못 입력된 것을 팀원이 발견한다."
1,직장1,행동,2,공통 시나리오 - Scene 2,"팀장은 여러 사람이 있는 자리에서 백설에게 자료를 다시 확인해 달라고 말한다. 백설은 평소에도 사소한 내용을 빠뜨리거나 실수하는 일이 종종 있다는 것을 알고 있다. 회의는 계속 진행되지만, 백설은 방금 지적받은 일이 계속 마음에 남는다."
1,직장1,행동,3,세부 시나리오(행동) - Scene 1,"지적을 받은 순간 백설은 회의실에 계속 앉아 있는 것이 답답하게 느껴진다. 회의가 끝나기도 전에 물을 마시고 오겠다고 말한 뒤, 자신도 모르게 회의실 밖으로 나온다."
1,직장1,행동,4,세부 시나리오(행동) - Scene 2,"복도에 나온 백설은 잠시 마음이 편해지는 것 같지만, 다시 회의실로 들어가야 한다는 생각에 발걸음이 쉽게 떨어지지 않는다. 이후 팀장이 수정 내용을 메시지로 보내지만, 백설은 바로 확인하지 못한다."
2,직장2,인지,1,공통 시나리오 - Scene 1,"백설은 오전까지 팀원에게 전달하기로 한 중요한 자료가 있었다. 출근 직후에는 그 일을 기억하고 있었지만, 급하게 들어온 메일에 답하고 다른 업무를 처리하다 보니 어느새 자료 전달을 완전히 잊어버렸다."
2,직장2,인지,2,공통 시나리오 - Scene 2,오후가 되어 팀원에게서 “요청드린 자료는 언제쯤 받을 수 있을까요?”라는 메시지가 도착한다. 그제야 백설은 자신이 약속한 업무를 처리하지 않았다는 사실을 깨닫는다. 팀원은 그 자료를 받아야 다음 작업을 진행할 수 있는 상황이다.
