id,part,question,type,options
1,인지,"스트레스를 받으면 먼저 상황을 차분하게 정리한다.",yes-no,"예,아니요"
2,인지,"문제의 원인이나 사실관계를 파악하려고 한다.",yes-no,"예,아니요"
3,인지,"상황을 여러 번 되짚어 보며 생각한다.",yes-no,"예,아니요"
4,인지,"나의 반응이나 행동을 객관적으로 돌아본다.",yes-no,"예,아니요"
5,정서,"현재 내가 느끼는 감정을 알아차리려고 한다.",yes-no,"예,아니요"
6,정서,"스트레스를 준 상대에게 화를 내거나 짜증을 낸다.",yes-no,"예,아니요"
7,정서,"감정을 참다가 한꺼번에 터뜨린다.",yes-no,"예,아니요"
8,정서,"불편한 감정을 피하기 위해 외면한다.",yes-no,"예,아니요"
9,행동,"문제를 해결하기 위해 필요한 행동을 한다.",yes-no,"예,아니요"
10,행동,"나도 모르게 그 자리를 떠난다.",yes-no,"예,아니요"
11,행동,"마음을 달래기 위해 상대와의 연락을 일시적으로 피한다.",yes-no,"예,아니요"
12,행동,"해야 할 일의 우선 순위를 정한 후 실행한다.",yes-no,"예,아니요"
