NO,DOMAIN,ACCEPT_TITLE,ACCEPT_DETAIL,ACCEPT_AFTER,REAPPRAISAL_TITLE,REAPPRAISAL_DETAIL,REAPPRAISAL_AFTER,REFOCUS_TITLE,REFOCUS_DETAIL,REFOCUS_AFTER,HELPFUL_1,HELPFUL_2,HELPFUL_3,UNHELPFUL_1,UNHELPFUL_2,UNHELPFUL_3
0,샘플,사라진 하루를 미워하지 않아도 괜찮아요,"오늘이 계획대로 흘러가지 않았다는 사실을 지우려 애쓰지 말고, 아쉬운 마음이 남아 있다는 것만 알아차려 보세요. 하루를 망쳤다는 판단을 잠시 내려놓으면 남은 저녁은 자책이 아니라 쉼으로 쓸 수 있어요.","오늘이 마음에 안 들었다는 것, 그냥 그대로 두기로 했어.",흘려보낸 시간에도 남은 것이 있어요,휴대폰을 보고 집안일을 한 시간을 버린 시간으로만 보면 하루 전체가 실패가 돼요. 미뤄 둔 집안일이 줄었고 지친 마음이 잠깐 쉬었다는 것도 오늘의 일부예요. 하루를 다시 세어 보면 남은 일도 내일 손댈 만한 크기로 보여요.,아무것도 안 한 하루는 아니었네. 남은 일도 생각보다 크지 않아.,지금 손댈 수 있는 한 가지만 골라요,"오늘 못 한 일을 전부 만회하려 하면 시작 자체가 더 어려워져요. 남은 목록에서 십 분이면 끝나는 일 하나만 골라 지금 해보고, 내일 아침 가장 먼저 할 일 하나를 적어 두세요. 계획을 다시 세우는 것보다 지금 한 칸을 움직이는 편이 빨라요.","다 만회하려 하지 말고, 십 분짜리 하나만 해보자.",하루를 덜 자책하게 됨,남은 일이 작게 느껴짐,당장 할 일이 분명해짐,할 일은 그대로 남음,내 하루와는 달랐음,실천하기엔 막연함
1,직장1,실수 뒤에 남은 마음을 먼저 살펴봐요,여러 사람 앞에서 오류를 지적받으면 부끄럽고 속상한 마음이 오래 남을 수 있어요. 그 마음을 없애려 하기보다 ‘지금 많이 민망하구나’라고 그대로 알아차려 보세요.,"아직 민망하지만, 내가 왜 이렇게 예민해졌는지는 알 것 같아.",한 번의 오류가 능력 전체를 말하지 않아요,자료의 숫자 몇 개가 잘못됐다는 사실과 팀원들이 나를 무능하게 본다는 생각은 달라요. 한 부분의 오류가 내 업무 능력 전체를 결코 뜻하지는 않아요.,"틀린 숫자가 있었던 거지, 내가 전부 잘못한 건 아니야.",틀린 숫자부터 하나씩 대조해요,"회의 장면을 되짚는 대신 오류가 난 항목만 표시하세요. 원자료와 숫자를 한 줄씩 대조하고, 확인한 항목에 표시를 남기며 수정 범위를 차례로 줄여 보세요.",지금은 사람들 표정보다 이 숫자 하나를 확인하면 돼.,나를 덜 탓하게 됨,상황을 달리 보게 됨,무엇부터 할지 분명해짐,마음이 편해지지 않음,이미 알던 이야기임,문제는 그대로 남음
2,직장2,미안한 마음을 피하지 않아도 괜찮아요,업무를 잊었다는 사실을 깨달으면 당황하고 미안해 답장을 피하고 싶을 수 있어요. ‘지금 미안하고 겁이 나는구나’라고 불편한 마음을 그대로 알아차려 보세요.,미안해서 피하고 싶었구나. 그래도 지금 답장은 보낼 수 있어.,놓친 업무와 나라는 사람을 분리해요,"약속한 업무를 놓친 것은 사실이지만, 그것이 곧 내가 무책임한 사람이라는 뜻은 아니에요. 과거의 실수와 지금 해결해야 할 한 가지 업무를 구분해 보세요.",업무 하나를 놓친 거야. 지금 어떻게 수습하는지가 더 중요해.,답장 한 줄로 다시 흐름을 시작해요,완벽한 해명문 대신 현재 상황과 전달 가능한 시간을 먼저 짧게 알려 주세요. 그다음 자료 준비를 작은 단계로 나누고 첫 단계부터 바로 시작해 보세요.,"먼저 시간을 알려 드리고, 자료 첫 부분부터 시작하자.",시작해 볼 마음이 생김,나를 덜 탓하게 됨,상대 입장이 이해됨,문제는 그대로 남음,상대에겐 통하지 않음,공감되지 않음
3,직장3,지금 느끼는 과부하를 알아차려요,여러 업무가 한꺼번에 주어지면 생각이 엉키고 압박감이 커질 수 있어요. 무조건 침착하려 애쓰기보다 ‘지금 많은 정보를 처리하느라 벅차구나’라고 알아차려 보세요.,"내가 게을러서 멈춘 게 아니라, 지금 과부하가 온 거였어.",모든 일이 똑같이 급한 것은 아니에요,"세 업무가 모두 급해 보여도 실제 마감과 중요도는 다를 수 있어요. 무엇을 먼저 해도 문제라는 생각에서 벗어나, 우선순위를 묻는 것도 업무 조율이라고 바라보세요.","혼자 맞히려고 하지 말고, 순서를 확인해도 되는 거야.",한눈에 적고 한 가지부터 시작해요,"세 업무의 마감과 중요도를 한 줄씩 적어 보세요. 가장 급하고 영향이 큰 일 하나를 골라 15분 동안 진행하고, 다른 생각은 메모한 뒤 다음 순서에 확인하세요.",지금은 1순위 하나만 15분 동안 하면 돼.,부담이 작게 느껴짐,무엇부터 할지 분명해짐,지금 감정을 알아차림,어떻게 할지 막막함,상황에 맞지 않음,너무 이상적임
4,직장4,다시 묻기 어려운 마음도 자연스러워요,중요한 설명을 놓치면 불안하고 다시 묻는 일이 민망할 수 있어요. 이해한 척하며 감추기보다 ‘집중하지 못한 게 들킬까 봐 두렵구나’라고 마음을 알아차려 보세요.,질문이 무서웠던 거구나. 불안해도 확인은 할 수 있어.,재확인은 정확성을 높이는 업무예요,다시 질문하면 능력이 부족해 보일 것이라는 생각은 아직 확인되지 않은 예상이에요. 재확인은 실패의 증거가 아니라 업무 오류를 예방하고 정확성을 높이는 절차예요.,"다시 묻는 게 아니라, 필요한 조건을 정확히 확인하는 거야.",형식과 마감부터 짧게 확인해요,"모든 설명을 다시 요청하기보다 제출 형식과 마감처럼 꼭 필요한 두 가지만 질문하세요. 답을 바로 메모하고, 첫 작업 단계를 한 줄로 적은 뒤 시작해 보세요.",형식과 마감만 확인하면 바로 첫 단계로 갈 수 있어.,상황을 달리 보게 됨,상대 입장이 이해됨,무엇부터 할지 분명해짐,상대에겐 통하지 않음,상황에 맞지 않음,어떻게 할지 막막함
5,직장5,놓친 답답함을 판단 없이 바라봐요,"회의 내용이 선명하게 기억나지 않으면 답답함과 불안, 부끄러움이 함께 생길 수 있어요. 자신을 평가하기보다 지금 느껴지는 마음을 그대로 살펴보세요.",지금 답답하고 불안하구나. 그게 내 능력 전체를 뜻하는 건 아니야.,일부를 놓친 것과 전부를 모르는 건 달라요,집중이 흐트러졌더라도 기억나는 내용과 메모까지 모두 사라진 것은 아니에요. 몇 가지 빈칸이 있다는 사실과 회의 전체를 모른다는 결론을 구분해 보세요.,"전부 모르는 게 아니라, 몇 군데만 비어 있는 거였어.",결정·담당·마감 세 가지만 채워요,"회의 전체를 복원하려 하지 말고 결정 사항, 담당 업무, 마감일 세 항목만 적으세요. 비어 있는 부분만 동료에게 확인한 뒤 담당 업무 하나부터 시작하세요.",회의 전체가 아니라 세 칸만 채우면 다음 일을 시작할 수 있어.,무엇부터 할지 분명해짐,부담이 작게 느껴짐,나를 덜 탓하게 됨,문제는 그대로 남음,어떻게 할지 막막함,공감되지 않음
6,직장6,미안함과 방어적인 마음을 함께 살펴봐요,"일정 착오를 알게 되면 미안함과 수치심, 짜증이 함께 올라올 수 있어요. 어느 감정이 옳은지 판단하지 말고 지금 느껴지는 마음을 하나씩 이름 붙여 보세요.",미안하면서도 지적받아 속상했던 거구나. 두 마음이 같이 있어도 돼.,일정 착오는 다시 조율할 수 있어요,마감일을 잘못 알았다고 동료의 신뢰를 모두 잃은 것은 아니에요. 이번 일을 고정된 능력 평가가 아니라 솔직한 공유와 재조율이 필요한 업무 문제로 바라보세요.,"이미 끝난 문제가 아니라, 지금부터 다시 조율할 수 있는 문제야.",현재 상황을 세 가지로 나누어 알려요,"메시지를 반복해서 고치지 말고 현재 진행 정도, 완료 가능한 시간, 도움이 필요한 부분을 정리해 전달하세요. 그다음 업무 분담이나 마감 조정을 요청해 보세요.",진행 정도와 가능한 시간부터 솔직하게 알리자.,상대 입장이 이해됨,시작해 볼 마음이 생김,나를 덜 탓하게 됨,상대에겐 통하지 않음,문제는 그대로 남음,너무 이상적임
7,직장7,긴장한 몸을 억지로 없애지 않아도 괜찮아요,"밝은 빛과 소리, 사람들의 시선이 한꺼번에 들어오면 몸이 긴장할 수 있어요. 발바닥의 감각과 한 번의 호흡을 느끼며 ‘지금 긴장하고 있구나’라고 알아차려 보세요.","긴장이 사라지진 않았지만, 다시 말할 수는 있을 것 같아.",잠깐 멈춘 장면이 발표 전체는 아니에요,말이 잠시 멈춘 순간은 발표 중 일어난 한 장면일 뿐이에요. 사람들이 모두 나를 부정적으로 평가했다는 생각과 발표 전체를 분명히 구분해 바라보세요.,한 번 멈췄을 뿐이야. 발표 전부가 실패한 건 아니야.,키워드 한 줄에서 다시 이어가요,사람들의 표정을 분석하지 말고 준비한 자료에서 다음 키워드 한 줄만 찾으세요. 그 키워드로 짧은 문장 하나를 차분히 말한 뒤 다음 순서로 넘어가세요.,다음 키워드만 보고 한 문장부터 이어가자.,감정을 편안하게 해줌,부담이 작게 느껴짐,시작해 볼 마음이 생김,너무 이상적임,상황에 맞지 않음,마음이 편해지지 않음
8,직장8,공들인 만큼 속상한 마음도 인정해요,공들인 자료가 정리되지 않았다는 평가를 받으면 노력까지 부정당한 것처럼 느껴질 수 있어요. ‘열심히 만든 만큼 서운하구나’라고 그 마음을 알아차려 보세요.,열심히 했기 때문에 더 서운했던 거구나.,형식에 대한 피드백은 내용 전체의 부정이 아니에요,"팀장이 지적한 것은 글꼴과 문단, 내용 순서처럼 읽기 어려운 형식이에요. 형식에 대한 피드백과 자료의 내용 및 노력 전체에 대한 평가를 구분해 보세요.","내용을 버리라는 게 아니라, 읽기 쉽게 정리해 달라는 거였어.",수정 기준을 하나씩 적용해요,"기준이 되는 템플릿을 옆에 열고 글꼴, 문단 간격, 내용 순서로 작업을 나누세요. 한 기준을 문서 전체에 적용한 뒤 다음 기준으로 차례로 넘어가세요.","글꼴부터 문서 전체에 맞추고, 그다음 문단을 보자.",상황을 달리 보게 됨,상대 입장이 이해됨,무엇부터 할지 분명해짐,공감되지 않음,이미 알던 이야기임,문제는 그대로 남음
9,직장9,반복되는 실수에 지친 마음을 돌봐요,여러 번 확인했는데도 오류가 나오면 답답하고 자신감이 떨어질 수 있어요. 과거의 실수까지 떠올리기보다 ‘또 틀릴까 봐 지쳤구나’라고 마음을 알아차려 보세요.,또 틀릴까 봐 겁나고 지쳤던 거구나. 잠깐 숨을 고르자.,남은 오류는 검토 방식을 알려주는 정보예요,"오류가 남았다고 내가 원래 덤벙대는 사람이라는 뜻은 아니에요. 문장과 숫자, 형식을 동시에 확인한 검토 방식에 보완이 필요하다는 정보로 바라보세요.","내가 안 되는 게 아니라, 한꺼번에 확인한 방식이 어려웠던 거야.",문장·숫자·형식을 따로 검토해요,"파일을 반복해서 읽지 말고 검토 목적을 문장, 숫자, 형식으로 분리하세요. 한 번에 한 항목만 확인하고, 끝난 단계에 표시를 남긴 뒤 제출하세요.","이번에는 문장, 숫자, 형식을 섞지 않고 따로 보자.",나를 덜 탓하게 됨,무엇부터 할지 분명해짐,감정을 편안하게 해줌,이미 알던 이야기임,문제는 그대로 남음,마음이 편해지지 않음
