DOMAIN,SCENE_NUM,TITLE,BG,CHAR_1,CHAR_2,CHAR_3,KIND,TEXT
직장,1,회의실이 조금 편해졌어요,meeting_room.png,baeksul_f_default.png,,colleague_happy.png,,"백설은 회의실 자리에 앉아 발표 자료를 펼친다. 지난번 숫자를 틀렸던 그 표가 화면에 다시 떠 있고, 옆자리 동료가 오늘도 잘 부탁한다며 노트북을 연다."
직장,2,회의실이 조금 편해졌어요,meeting_room.png,baeksul_f_default.png,,boss_happy.png,,"발표 중간에 팀장이 셋째 줄 합계가 맞느냐고 묻는다. 백설은 화면을 다시 확인하고, 여기 숫자가 하나 빠졌다고 그 자리에서 말한 뒤 고친 값을 읽는다."
직장,3,회의실이 조금 편해졌어요,office.png,,baeksul_f_default.png,,,"회의가 끝나고 백설은 자리로 돌아와 자료를 닫는다. 아까 그 장면이 몇 번 떠오르지만, 오래 붙들지 않고 다음 안건 메모를 연다."
직장,4,회의실이 조금 편해졌어요,office.png,baeksul_f_default.png,,colleague_happy.png,,"동료가 지나가며 바로 고쳐 줘서 편했다고 말한다. 백설은 고맙다고 답하고, 퇴근길에는 그 회의 대신 저녁 메뉴를 생각한다."
직장,5,회의실이 조금 편해졌어요,office.png,,baeksul_f_default.png,,,"며칠 뒤, 다음 회의를 하루 앞둔 저녁이다. 백설은 자료를 한 번 더 넘기며 물어볼 것 두 군데에 표시를 남기고, 평소보다 이른 시간에 자리를 정리한다. 내일이 특별히 기다려지지는 않지만, 무섭지도 않다."
직장,6,회의실이 조금 편해졌어요,office.png,baeksul_f_cheer.png,,,narration,"지적을 받은 자리에서 곧바로 고치고 다음 안건으로 넘어가는 백설을 보셨습니다. 실수 자체보다 실수 뒤의 시간이 달라졌습니다. 회사에서 어떤 상황이 와도, 이제 백설은 그 시간을 스스로 다룰 줄 압니다. 앞으로도 같이 해봐요."
취업준비,1,기다리는 시간도 내 하루예요,interview_room.png,baeksul_f_default.png,,interviewer_default.png,,"백설은 면접장 의자에 앉아 마지막 질문에 답하고 있다. 면접관의 표정은 끝까지 읽히지 않지만, 백설은 준비한 문장을 다 말하고 인사를 한다."
취업준비,2,기다리는 시간도 내 하루예요,cafe.png,,baeksul_f_default.png,,,"카페에 앉은 백설의 메일함에는 아직 아무것도 오지 않았다. 발표가 언제냐는 생각이 몇 번 올라올 때마다, 백설은 휴대폰을 엎어 두고 식은 커피를 한 모금 마신다."
취업준비,3,기다리는 시간도 내 하루예요,cafe.png,baeksul_f_default.png,,friend_default.png,,"친구가 맞은편에 앉아 어땠냐고 묻는다. 백설은 잘 본 것 같기도 하고 아닌 것 같기도 하다고 답하고는, 오늘은 그 이야기 말고 다른 걸 하자며 웃는다."
취업준비,4,기다리는 시간도 내 하루예요,street_night.png,baeksul_f_default.png,,friend_default.png,,"해가 질 때쯤 둘은 함께 카페를 나온다. 결과는 아직 오지 않았지만, 백설은 내일 볼 공고를 하나 저장해 두고 천천히 걷는다."
